full_name,long,lat
bangor donnant,47.3196443,-3.2298395
erdeven kerhilio,47.618522, -3.16564
erdeven la-roche-seche,47.6226276,-3.1997196
gavres gavres,47.6966414,-3.3529371
guidel la-falaise,47.762220,-3.522450
guidel pen-er-malo-fort-bloque,47.753190,-3.498490
guidel plage-du-loch,48.029500,-4.637220
larmor-plage anse-de-kerguelen,47.705660,-3.401230
larmor-plage toulhars,47.7058556,-3.3855627
ploemeur les-kaolins,47.7228289,-3.4873461
plouharnel la-guerite-tata-beach,47.5936091,-3.1452297
plouharnel mane-gwen,47.5936091,-3.1452297
plouharnel mentor,47.5820893,-3.1388699
plouharnel sainte-barbe-plouharnel,47.6074012,-3.1357616
plouharnel ty-hoche,47.5969829,-3.1463891
plouhinec barre-detel,47.64286,-3.21616
plouhinec kervegant,47.664549,-3.2256925
plouhinec lines,47.6846414,-3.2830856
quiberon port-maria,47.4783483,-3.1266243
saint-pierre-quiberon port-bara,47.5141954,-3.151623
saint-pierre-quiberon port-blanc,47.5205555,-3.1542716
saint-pierre-quiberon port-rhu,47.5182401,-3.1438806
erquy caroual,48.6120188,-2.4826509
frehel anse-du-croc,48.6567253,-2.3614248
frehel greve-des-fosses,48.6287167,-2.3633034
frehel greves-den-bas,48.6287167,-2.3633034
frehel la-fosse,48.6287167,-2.3633034
frehel sables-dor-les-pins,48.6287167,-2.3633034
lannion goas-lagorn,48.7468328,-3.5472171
lannion maez-aod,48.7351972,-3.5456714
perros-guirec trestraou,48.8148467,-3.4589564
perros-guirec trestrignel,48.8148467,-3.4589564
pleneuf-val-andre saint-pabu-la-ville-berneuf,48.5854291,-2.5302145
trebeurden tresmeur,48.7658117,-3.5795472
tredrez-locquemeau saint-michel,48.6921294,-3.5611102
dinard lecluse,,
dinard saint-enogat,,
saint-lunaire grande-plage-saint-lunaire,,
saint-lunaire plage-de-longchamp,,
saint-malo le-sillon,,
audierne trescadec,,
camaret-sur-mer pen-hat,,
cleden-cap-sizun poez-theolen,,
clohars-carnoet le-kerou,,
crozon goulien,,
crozon kerloch,,
crozon kersiguenou,,
crozon la-palue,,
crozon lostmarch,,
crozon trez-rouz,,
esquibien la-gamelle,,
esquibien lile-aux-vaches,,
esquibien pointe-de-lervily,,
esquibien saint-tugen,,
kerlouan boutrouilles,,
kerlouan le-fanal,,
kerlouan roch-ar-gonc,,
lampaul-plouarzel gouerou,,
lampaul-plouarzel porz-gwen,,
lampaul-ploudalmezeau trois-moutons,,
landunvez gwentraez,,
landunvez penfoul,,
le-conquet blancs-sablons,,
le-conquet porz-liogan,,
locmaria-plouzane dalbosch,,
locmaria-plouzane tregana,,
locquirec les-sables-blancs,,
locquirec porz-ar-villiec,,
nevez dourveil,,
penmarch pors-carn,,
plogoff baie-des-trepasses,,
plomeur la-torche,,
plouarzel charrettes,,
plouarzel corsen,,
plouarzel porz-tevigne,,
ploudalmezeau treompan,,
plouescat porz-meur,,
plouhinec gwendrez,,
plouhinec kerziny,,
plouhinec mesperleuc,,
plouzane le-petit-minou,,
plovan ru-vein,,
plozevet palud-keristenvet,,
plozevet plage-du-gored,,
porspoder plage-de-porspoder,,
pouldreuzic palud-gourinet,,
pouldreuzic penhors,,
saint-jean-trolimon tronoen,,
saint-nic pentrez,,
saint-pabu coulouarn-plage-danvad,,
saint-pabu erleach,,
santec le-dossen,,
sibiril la-mauvaise-greve,,
treguennec kermabec,,
tregunc loch-lougar,,
